Reaction ID,Number of Reaction Details,Reaction Rank,Record Type,Reactant,Product,Bin,Reaction,Reaction Details: Reaction Classification,Example label,Example title,Fulltext of reaction,Number of Reaction Steps,Multi-step Scheme,Multi-step Details,Number of Stages,Solid Phase,Time (Reaction Details) [h],Temperature (Reaction Details) [C],Pressure (Reaction Details) [Torr],pH-Value (Reaction Details),Other Conditions,Reaction Type,Subject Studied,Prototype Reaction,Named Reaction,Type of reaction description (Reaction Details),Location,Comment (Reaction Details),Product.1,Yield,Yield (numerical),Yield (optical),Stage Reactant,Reagent,Catalyst,Solvent (Reaction Details)
782207,44,106,full reaction; has preparation; has multi-step,1-(4-methoxyphenyl)ethanone,4-methoxyacetanilide,278869,COC1=CC=C(C=C1)C(C)=O>>COC1=CC=C(NC(C)=O)C=C1,Preparation,,Amides from Ketones,"General procedure: To a stirred solution of Cu(OTf)2 (0.05 mmol, 10 mol%) in TFE/CH2Cl2 (1:4, 2-3 mL) were added ketone (0.5 mmol, 1.0 equiv), HOSA (2.0 equiv), and CsOH¡¤H2O (2.0 equiv) at rt. The reaction mixture was maintained at the temperature and for the time indicated in Scheme 2. After completion, the mixture was diluted with CH2Cl2 (10 mL) and washed with sat. aq Na2CO3 (3 ¡Á 5 mL). The combined organic layers were washed with brine (5 mL) and dried (anhyd Na2SO4). The crude product obtained after removal of all volatiles in vacuo was purified by SiO2 (100-200 mesh) chromatography using EtOAc/hexane as eluent.",1,,,,,16,20,,,,Beckmann Rearrangement,,,,Experimental part,,,4-methoxyacetanilide,86 percent,86,,,cesiumhydroxide monohydrate; hydroxylamine-O-sulfonic acid; copper(II) bis(trifluoromethanesulfonate),,"dichloromethane; 2,2,2-trifluoroethanol"
782207,44,106,full reaction; has preparation; has multi-step,1-(4-methoxyphenyl)ethanone,4-methoxyacetanilide,278869,COC1=CC=C(C=C1)C(C)=O>>COC1=CC=C(NC(C)=O)C=C1,Preparation,,Experimental procedure for the synthesis of amides using thiamine hydrochloride as a catalyst,"General procedure: A mixture of ketone 1 (2 mM), hydroxylamine hydrochloride (3 mM) and thiamine hydrochloride (0.4 mM) was taken in 10mL dioxane:H2O (9:1) in a round-bottom flask and heated at 90 C for specific time (30-90 min). The progress of the reaction was monitored using thin layer chromatography (tlc). After completion of the reaction, the reaction flask was cooled to room temperature. The residue was taken in ethyl acetate (30 ml), washed with water (2x15 ml), brine (1x15 ml) and the organic layer was dried (anhyd. Na2SO4). The resulting ethyl acetate solution was concentrated and the desired amides 2 (75-95% yield) are obtained by recrystallization from ethanol.",1,,,,,1.16667,90,,,,Beckmann Rearrangement,,,,Experimental part,supporting information,,4-methoxyacetanilide,85 percent,85,,,hydroxylamine hydrochloride; water; Thiamine hydrochloride,,"1,4-dioxane"
782207,44,106,full reaction; has preparation; has multi-step,1-(4-methoxyphenyl)ethanone,4-methoxyacetanilide,278869,COC1=CC=C(C=C1)C(C)=O>>COC1=CC=C(NC(C)=O)C=C1,Preparation,,,,1,,,,,0.166667,,,,microwave irradiation,Schmidt reaction,,,,,,,4-methoxyacetanilide,83 percent,83,,,phosphorus pentaoxide; sodium azide; silica gel,,
782207,44,106,full reaction; has preparation; has multi-step,1-(4-methoxyphenyl)ethanone,4-methoxyacetanilide,278869,COC1=CC=C(C=C1)C(C)=O>>COC1=CC=C(NC(C)=O)C=C1,Preparation,,For ketone substrates:,"General procedure: Under the air atmosphere, a 20 mL vial was added ketones (0.3 mmol), MeNO2 (73mg, 1.2 mmol) or (548 mg, 9.0 mmol), then AcOH (0.5 mL, c = 0.6 M) was added viasyringe followed by Tf2O (169 mg, 0.6 mmol) and HCOOH (35 mg, 0.75 mmol). Thevial was refluxed and stirring or standing under air at 100 oC for the indicated time.After cooling down to room temperature, the reaction mixture was quenched by 2 MNaOH (5 mL) or saturated aqueous NaHCO3 (10 mL), the aqueous was extracted byEA and the combined organic phase were washed with brine and dried over Na2SO4.Then the mixture was concentrated and purified by flash chromatography on a shortsilica gel (eluent: PE/EA = 10/1 to 1/1) to afford the desired amides.",1,,,,,12,100,,,,Schmidt Reaction,,,,Experimental part,supporting information,,4-methoxyacetanilide,82 percent,82,,,formic acid; nitromethane; trifluoromethylsulfonic anhydride; acetic acid,,
782207,44,106,full reaction; has preparation; has multi-step,1-(4-methoxyphenyl)ethanone,4-methoxyacetanilide,278869,COC1=CC=C(C=C1)C(C)=O>>COC1=CC=C(NC(C)=O)C=C1,Preparation,,,,1,,,,,0.0833333,80,,,Flow reactor,Schmidt Reaction,,,,Experimental part,supporting information,,4-methoxyacetanilide,81 percent,81,,,methanesulfonic acid; tetrabutylammoniun azide,,"1,2-dimethoxyethane"
782207,44,106,full reaction; has preparation; has multi-step,1-(4-methoxyphenyl)ethanone,4-methoxyacetanilide,278869,COC1=CC=C(C=C1)C(C)=O>>COC1=CC=C(NC(C)=O)C=C1,Preparation,6,Example 6 p-Methoxyacetanilide,"Take a reaction tube and add 60-100mg (1.2mmol) of nitromethane, 40-50mg (0.3mmol) of p-methoxyacetophenone, 0.5mL of acetic acid, 150-200mg (0.6mmol) of trifluoromethanesulfonic anhydride, and formic acid 30-60mg (0.75mmol), stirred at 80-120C for 1-72 hours. After the reaction was completed, 10 mL of sodium hydroxide solution was added to quench the reaction, extracted with ethyl acetate 3 times, the organic phase was washed with 5 mL of brine, and the organic phases were combined and separated by column chromatography to obtain 39.1 mg of p-methoxyacetanilide, with a yield of 79% .",1,,,,,,80 - 120,,,,,,,,,Paragraph 0125-0127,,4-methoxyacetanilide,79 percent,79,,,nitromethane; trifluoromethylsulfonic anhydride; acetic acid,,formic acid
782207,44,106,full reaction; has preparation; has multi-step,1-(4-methoxyphenyl)ethanone,4-methoxyacetanilide,278869,COC1=CC=C(C=C1)C(C)=O>>COC1=CC=C(NC(C)=O)C=C1,Preparation,,,,1,,,,,12,100,,,,,,,,Experimental part,supporting information,,4-methoxyacetanilide,79 percent,79,,,formic acid; nitromethane; trifluoromethylsulfonic anhydride,,acetic acid
782207,44,106,full reaction; has preparation; has multi-step,1-(4-methoxyphenyl)ethanone,4-methoxyacetanilide,278869,COC1=CC=C(C=C1)C(C)=O>>COC1=CC=C(NC(C)=O)C=C1,Preparation,,2.4. Synthesis of amides,"General procedure: Ketones (1 mmol) and hydroxylamine hydrochloride (0.0694g,1 mmol) were dissolved in CH3CN (10 mL) and stirred for 10 - 15 min. The complex (CS-SalBr-Zn-L) (10 mol%) were added tothe reaction flask. The reaction mixture was heated under reflux for specific time (3e7 h). After completion, the reaction mixture was cooled to room temperature and the catalyst was removed by filtration. The filtrate was treated with ethyl acetate (3 10 mL).The combined organic layers were treated with saturated brine solution and dried over anhydrous sodium sulphate. The removal of solvent yields crude product, which after purification by column chromatography over Silica gel (100e200 mesh), afforded the desired products.",1,,,,,,,,,Reflux,,,,,Experimental part,,,4-methoxyacetanilide,71 percent,71,,,hydroxylamine hydrochloride,,acetonitrile
782207,44,106,full reaction; has preparation; has multi-step,1-(4-methoxyphenyl)ethanone,4-methoxyacetanilide,278869,COC1=CC=C(C=C1)C(C)=O>>COC1=CC=C(NC(C)=O)C=C1,Preparation,,,,1,,,,,,,,,,,,,,,,,,,,,,hydrogen azide; sulfuric acid; benzene,,
782207,44,106,full reaction; has preparation; has multi-step,1-(4-methoxyphenyl)ethanone,4-methoxyacetanilide,278869,COC1=CC=C(C=C1)C(C)=O>>COC1=CC=C(NC(C)=O)C=C1,Preparation,,,,1,,,,,0.0833333,,,,,,,,,,,Yield given,,,,,,hydroxylammonium sulfate,,
782207,44,106,full reaction; has preparation; has multi-step,1-(4-methoxyphenyl)ethanone,4-methoxyacetanilide,278869,COC1=CC=C(C=C1)C(C)=O>>COC1=CC=C(NC(C)=O)C=C1,Preparation,,,,1,,,,,,120,,,,,,,,Experimental part,supporting information,,4-methoxyacetanilide,73 percent,,,,nitromethane; t-butyldimethylsiyl triflate; acetic acid,,
782207,44,106,full reaction; has preparation; has multi-step,1-(4-methoxyphenyl)ethanone,4-methoxyacetanilide,278869,COC1=CC=C(C=C1)C(C)=O>>COC1=CC=C(NC(C)=O)C=C1,Preparation,,,,1,,,,,,,,,,Beckmann Rearrangement,,,,Scheme or table,,,,,,,,hydroxylamine-O-sulfonic acid,,acetonitrile
9082607,21,105,full reaction; has preparation; has multi-step,3-Chlorobenzaldehyde,3-chlorobenzamide,290201,ClC1=CC(C=O)=CC=C1>>NC(=O)C1=CC(Cl)=CC=C1,Preparation,,4.2. General procedure for the synthesis of amides,"General procedure: To a solution of copper(II) acetate (0.04 mmol) in water (1 mL) were added the corresponding aldehyde (3, 2 mmol) and the hydroxylamine (4, 2 mmol). After 2 days stirring at 110 C the mixture was quenched with a saturated solution of ammonium chloride (10 mL), or added ether (2 mL) for the recycling process. The mixture was extracted with AcOEt (3¡Á10 mL) and washed with brine (10 mL), after drying with anhydrous MgSO4, the organic layer was filtered on Celite and the solvents were removed under low pressure (15-18 Torr). The product was purified recrystallization from chloroform/hexane mixtures to give the corresponding product 2. Amides 2a,262b,272c, 272d,172e,282f,292g,272h,172j,302k,172l30 and 2m17 are commercially available and were characterized by comparison of their physical and spectroscopic data with those of pure examples. Yields are included in Table 4 (Fig. 1 for recycling processes). Physical and spectroscopic data, as well as literature data for known compounds, follow.",1,,,,,48,110,,,,,,,,,experimental part,,3-chlorobenzamide,97 percent,97,,,hydroxylamine; copper diacetate,,water
9082607,21,105,full reaction; has preparation; has multi-step,3-Chlorobenzaldehyde,3-chlorobenzamide,290201,ClC1=CC(C=O)=CC=C1>>NC(=O)C1=CC(Cl)=CC=C1,Preparation,,,,1,,,,,1,100,,,,,,,,,,,3-chlorobenzamide,95 percent,95,,,aluminum oxide; hydroxylamine hydrochloride; methanesulfonyl chloride,water,
9082607,21,105,full reaction; has preparation; has multi-step,3-Chlorobenzaldehyde,3-chlorobenzamide,290201,ClC1=CC(C=O)=CC=C1>>NC(=O)C1=CC(Cl)=CC=C1,Preparation,,,,1,,,,,12,80,,,,,,,,Experimental part,,,3-chlorobenzamide,92 percent,92,,,tert.-butylhydroperoxide; ammonium hydroxide,,water
9082607,21,105,full reaction; has preparation; has multi-step,3-Chlorobenzaldehyde,3-chlorobenzamide,290201,ClC1=CC(C=O)=CC=C1>>NC(=O)C1=CC(Cl)=CC=C1,Preparation,,,"General MW procedure: A mixture of Sc(OTf)3 (10 mol %, 49 mg), aldehyde (1 mmol), NH2OH¡¤HCl (1 mmol, 69 mg) and Na2CO3 (1 mmol) was placed in a safe pressure regulation 10 mL pressurized vial containing H2O (1 mL). The vial was sealed with a ¡®snap-on¡¯ cap and irradiated in a single-mode CEM Discover Bench Mate microwave reactor at 300 W and 135 C for 15-35 min. After the reaction was complete (periodic TLC monitoring), the mixture was allowed to cool to room temperature and was extracted with EtOAc (3 ¡Á 10 mL). The combined organic phase was dried over Na2SO4, filtered and the solvent was removed under vacuum. The leftover residue was purified by column chromatography on silica gel (EtOAc/hexane 3:7 as eluent) and then characterized based on their physical and spectral data.",1,,,,,0.583333,135,,,Microwave irradiation; Sealed vial,,,,,,experimental part,,3-chlorobenzamide,90 percent,90,,,hydroxylamine hydrochloride; sodium carbonate; scandium tris(trifluoromethanesulfonate),,water
9082607,21,105,full reaction; has preparation; has multi-step,3-Chlorobenzaldehyde,3-chlorobenzamide,290201,ClC1=CC(C=O)=CC=C1>>NC(=O)C1=CC(Cl)=CC=C1,Preparation,,,,1,,,,,6,50,,,,,,,,Experimental part,,,3-chlorobenzamide,89 percent,89,,,hydroxylamine hydrochloride; C21H27ClIrNO; sodium hydrogencarbonate,,water
9082607,21,105,full reaction; has preparation; has multi-step,3-Chlorobenzaldehyde,3-chlorobenzamide,290201,ClC1=CC(C=O)=CC=C1>>NC(=O)C1=CC(Cl)=CC=C1,Preparation,,4.4. General procedure for synthesis of primary amides from aldehyde,"General procedure: In a typical method, benzaldehyde (1.0 mmol), hydroxylaminehydrochloride (1.5 mmol), potassium carbonate (2.5 mmol) and0.5 mL of as-prepared SEF127-Pd(nanoparticle)/GO in DMSO were added to reaction media in the presence of 1.5 mL DMSO. The reac-tion was allowed to stir at 120C. Upon reaction completion, thecatalyst was separated by centrifuge and the organic residue was extracted with dichloromethane and evaporated under reducedpressure. The organic residue was purified by column chromatography. All yields were reported based on isolated amount. All productsare known and identified by 1H-NMR,13C-NMR spectrum and physical properties.",1,,,,,48,120,,,Green chemistry,,,,,Experimental part,,,3-chlorobenzamide,86 percent,86,,,hydroxylamine hydrochloride; potassium carbonate,,dimethyl sulfoxide
9082607,21,105,full reaction; has preparation; has multi-step,3-Chlorobenzaldehyde,3-chlorobenzamide,290201,ClC1=CC(C=O)=CC=C1>>NC(=O)C1=CC(Cl)=CC=C1,Preparation,,,,1,,,,,6.5,120,,,neat (no solvent),Beckmann rearrangement,,,,,experimental part,,3-chlorobenzamide,80 percent,80,,,hydroxylamine hydrochloride,,
9082607,21,105,full reaction; has preparation; has multi-step,3-Chlorobenzaldehyde,3-chlorobenzamide,290201,ClC1=CC(C=O)=CC=C1>>NC(=O)C1=CC(Cl)=CC=C1,Preparation,,,,1,,,,,7,100,,,Inert atmosphere; Schlenk technique,,,,,Experimental part,,,3-chlorobenzamide,80 percent,80,,,C19H23Cl2N6PRuS3*3ClH; hydroxylamine hydrochloride; sodium hydrogencarbonate,,water
9082607,21,105,full reaction; has preparation; has multi-step,3-Chlorobenzaldehyde,3-chlorobenzamide,290201,ClC1=CC(C=O)=CC=C1>>NC(=O)C1=CC(Cl)=CC=C1,Preparation,,,,1,,,,,12,110,,,Sealed tube,,,,,Experimental part,,,3-chlorobenzamide,75 percent,75,,,C55H45ClN5P2Ru(1+)*Cl(1-); hydroxylamine hydrochloride; sodium carbonate,,water
9082607,21,105,full reaction; has preparation; has multi-step,3-Chlorobenzaldehyde,3-chlorobenzamide,290201,ClC1=CC(C=O)=CC=C1>>NC(=O)C1=CC(Cl)=CC=C1,Preparation,68,Example 68 3-Chlorobenzamide,"Take a reaction tube and add 60-100mg (1.2mmol) of nitromethane, 30-40mg (0.3mmol) of 3-chlorobenzaldehyde, 0.5mL of acetic acid, 150-200mg (0.6mmol) of trifluoromethanesulfonic anhydride, and 30- of formic acid. 60 mg (0.75 mmol), stirred at 80-120C for 1-72 hours. After the reaction, 10 mL of sodium hydroxide solution was added to quench the reaction, extracted with ethyl acetate 3 times, the organic phase was washed with 5 mL of brine, and the organic phases were combined and separated by column chromatography to obtain 34.9 mg of 3-chlorobenzamide, with a yield of 75% .",1,,,,,,80 - 120,,,,,,,,,Paragraph 0327-0329,,3-chlorobenzamide,75 percent,75,,,nitromethane; trifluoromethylsulfonic anhydride; acetic acid,,formic acid
9082607,21,105,full reaction; has preparation; has multi-step,3-Chlorobenzaldehyde,3-chlorobenzamide,290201,ClC1=CC(C=O)=CC=C1>>NC(=O)C1=CC(Cl)=CC=C1,Preparation,,,,1,,,,,12,100,,,,,,,,Experimental part,supporting information,,3-chlorobenzamide,75 percent,75,,,formic acid; nitromethane; trifluoromethylsulfonic anhydride,,acetic acid
9082607,21,105,full reaction; has preparation; has multi-step,3-Chlorobenzaldehyde,3-chlorobenzamide,290201,ClC1=CC(C=O)=CC=C1>>NC(=O)C1=CC(Cl)=CC=C1,Preparation,,General procedure for conversion of aldehydes to primary amides,"General procedure: Aldehyde (0.5mmol), NH2OH¡¤HCl (0.6mmol) and Cs2CO3 (0.6mmol) were stirred at 125C for 48h in a 3:1 mixture of DMSO-H2O (2mL) under air. The progress of the reaction was monitored by TLC using ethyl acetate and hexane as eluent. After completion, the reaction mixture was cooled to room temperature and treated with water (1mL). The resulting mixture was extracted with ethyl acetate (3¡Á5mL). Drying (Na2SO4) and evaporation of the solvent gave a residue that was purified on silica gel column chromatography using ethyl acetate and hexane. The purified products were identified by 1H NMR spectra and the melting points comparison with the literature data.",1,,,,,48,125,,,,,,,,Experimental part,supporting information,,3-chlorobenzamide,71 percent,71,,,hydroxylamine hydrochloride; caesium carbonate,,water; dimethyl sulfoxide
9082607,21,105,full reaction; has preparation; has multi-step,3-Chlorobenzaldehyde,3-chlorobenzamide,290201,ClC1=CC(C=O)=CC=C1>>NC(=O)C1=CC(Cl)=CC=C1,Preparation,,,,1,,,,,8,170,,,,Beckmann rearrangement,,,,,,,3-chlorobenzamide,70 percent,70,,,hydroxylamine hydrochloride; zinc(II) oxide,,
9082607,21,105,full reaction; has preparation; has multi-step,3-Chlorobenzaldehyde,3-chlorobenzamide,290201,ClC1=CC(C=O)=CC=C1>>NC(=O)C1=CC(Cl)=CC=C1,Preparation,,,,1,,,,,9,170,,,,Beckmann rearrangement,,,,,,,3-chlorobenzamide,65 percent,65,,,hydroxylamine hydrochloride,titanium oxide,
